,ID,Tweet,Localización,Idioma,Etiqueta,Expresión
5395,1182602860606959618,acabar de meterte con el gran totem intocable de nuestra sociedad preparate para la que te ir a caer encima,newark  no vengais a joder,es,1,caer encima
5396,1182557744483700736,zombers no les querer meter hyper pero se esta crear la bomba que ir a caer encima de alguien cuando la ver venir apartense que no querer heridos a mi no me gustaria estar debajo adhaters," ",es,0,caer encima
5397,1182492347701088256,como escrachan a personas con facebook falsos y todo por politica que tan bajo poder caer encima escrachan gente por pavadas que ni logica tener,chaco  argentina,es,0,caer encima
5398,1182491834687340544,les ir a agradecer que si me ir a caer encima por algo que no ser por decir que mi mama ser chavista xd a pesar de que ser ese gobierno el que jodio a venezuela las ideologias ajenas haber que respetarlas y punto,calp  spain,es,1,caer encima
5399,1182481186549043201,jurar que me doler el pecho ver cada gota caer encima uno de 750 shoro,moreno,es,0,caer encima
5400,1182460881478848512,a benito se le acabar de caer encima el invento de mi papa para que no subir la escalera creer que mañana ya aprender a tirarlo como debe y lo tener en la cama llorar para subir,cordoba  argentina,es,0,caer encima
5401,1182457261651828736,una vez tener una amiga que venir a mi casa sin decirle a sus papas porque no queria estar mas con ellos  cuando sus padres la encontrar estar aterrorizada me seguia decir que si se montar en el carro le ir a caer encima como nunca," ",es,0,caer encima
5402,1182456484837445632,ai por favor que si no teniamos suficiente con suprema llegar lizo marcandose un supuesto kriswu la que le ir a caer encima como no lo borrar y luego esta la otra artista que esta firmar de todo para conseguir el numero 1 quien lo lograr," ",es,1,caer encima
5403,1182440463439151104,"no les querer meter hyper se esta crear la bomba que ir a caer encima de alguien cuando la ver venir apartense a mi no me gustaria estar debajo adhaters ",el canal de kronno  youtube,es,0,caer encima
5404,1182428384024027136,ah no ser ridiculo todos saber que el concepto de ese programa ser de emparejar a hombres y mujeres por lo que ser entendible la reaccion de sh aunque apuesto que aun asi el serra gy las antis le ir a caer encima,◇ amy   ana ◇,es,1,caer encima
5405,1182427317563514880,me ir a caer encima pero cada pais tener sus leyser migratorias y simplemente si no poder justificar una tus gastos en cancun donde un hotel malo costar 50 puser no poder entrar lo chimbo de todo serte ser que ser venezolanos refugiados practicamente y deberia ser flexible,al sur del norte   mexico,es,1,caer encima
5406,1182426899114614785,retroalimentacion del bit master 7  practicar teams  plan contra isabelle  no caer encima de genialo 3 veces seguidas,tampico  tamaulipas.,es,0,caer encima
5407,1182423759799705601," me acabar de caer encima de la tele y la haber rotar"," ",es,0,caer encima
5408,1182411115533340672,kiko no te ver venir la que te ir a caer encima,by order of the peaky blinders,es,1,caer encima
5409,1182408671520854021,por supuserto que la del psoe ser una historia criminal te haber empeñar en dserenterrar muertos de un bando y ahora te ir a caer encima los asserinados por el tuyo,madrid,es,0,caer encima
5410,1182402172341936128,realmente no dire lo sentir porque deber ser demasiado fuerte perder alguien que amas de esa manera te decir que tener mis hombros para caer encima de ellos cuando sentir que no poder mas y querer explotar animo bebo que tu ser hombre ir a ti campeon," ",es,0,caer encima
5411,1182383524772491264,yeah le ir a caer encima a alguien por ser gay porque por eso ser que cogio la pela,mayagüez  puerto rico,es,1,caer encima
5412,1182368337948565505,jajajjaa pendeja pair segui tirar mala leche y todo te ir a caer encima,rio negro  argentina,es,1,caer encima
5413,1182337581117255683,que coger oficio y se recoger yo lejos de querer pantalla y protagonismo a costa de alguien sin saber el contexto ser facil caer encima ah y citar mi tweet y mencionandome me sertan dar el protagonismo que tanto criticar que querer bseros,3.4516° n 76.5320° w,es,0,caer encima
5414,1182332312610115584,venia camino a almorzar y entre serquivar tanta gente y vendedor ambulante una igual se demorar la cosa ser que una señora aparentemente muy apurada me empujar para pasar mas rapido me empujar me senti como la bola de demolicion de miley tratar de no caer encima,santiago  chile,es,0,caer encima
5415,1182319083905310720,«cuando nacer ya traer la muerte escondida en el higado o en el estomago o aca en el corazon que algun dia ir a pararse tambien poder estar fuera sentar en algun arbol que todavia no crecer pero que te ir a caer encima cuando ser viejo»  roberto gairldon  macario 1960," ",es,0,caer encima
5416,1182315030429220864,martin vizcarra y sebastian piñera   tarde o temprano la justicia le ir caer encima al dictador del peru y al presidente de chile,latinoamerica peru - argentina,es,0,caer encima
5417,1182310399494033409,lucia se comprar un cafe en la maquina y le salir dos lucia quereis este cafe inmediatamente se le caer al suelo y mancha a manuela cinco mins mas tarde en clase lucia ir mierda de dia estar tener inmediatamente se le volver a caerr encima el otro cafe,madrid  españa,es,0,caer encima
5418,1182300320103374848,me ir a tener que bañar mas temprano pq ayer olvidar cerrar un bote de pintura y me acabar de caer encima bueh,||-//,es,0,caer encima
5419,1182298495509770240,si jajajajajaja y cuando lo escuchas cerca uno decir donde andara jajajaja antes me dar miedo de salir al baño porque pensar que me ir caer encima jajajaja,en algun lugar del mundo,es,0,caer encima
5420,1182288141350297600,estos nenes no se callar puñeta les querer caer encima jodio relajo,puerto rico,es,0,caer encima
5421,1182285656044777475,justo a vos te ir a caerr encima si te caer un rayo te moris de un paro o sea q no sufris tanto como si te chocar un auto u otras posibles muertes,en las nubes  siempre,es,0,caer encima
5422,1182255480946733056,le ir a caer encima yomaira y sonia yo usted y me esconder debajo del algoritmo,distrito nacional  rep.dom,es,0,caer encima
5423,1182242210378592256,se m ir a caer encima la que tener al lado en el bus dormir tener hasta la boca abierta,elche  españa,es,0,caer encima
5424,1182221330583867392,ser que sertos mierdas no ser nada como para pretender humillar a franco y por sero lser ir a caer encima una maldicion franco lser venir grande," ",es,1,caer encima
5425,1182158848901038085,jajajajajaja yo la verdad pense que le ir a caer encima la caminadora a la entrenadora,verachas,es,1,caer encima
5426,1182152276330323968,cuando nacer ya traer la muerte escondida en el higado o en el estomago o aca en el corazon que algun dia ir a pararse tambien poder estar fuera sentar en algun arbol que todavia no crecer pero que te ir a caer encima cuando ser viejo roberto gairldon  macario 1960,edo  mexico.,es,0,caer encima
5427,1182138125440733185,ya vsertir te poder caer encima el proximo todo ser posible en eate tiempo,guayaquil  ecuador,es,1,caer encima
5428,1182128683596877824,se complicar demas la vida tener que dejar que hablar total el que escupir para arriba le poder caer encima,la criolla,es,1,caer encima
5429,1182119187419926530,ea dialooo perate que serto ser una ganga que me ir a caer encima jajaja,uprrp,es,1,caer encima
5430,1182111382315110400,"ser una persona sin corazon y sin sentimientos solo recordar que cuando uno escupir para arriba  todo le volver a caer encima ",cozumel quintana roo mexico,es,0,caer encima
5431,1182085603422281728,a el le ir a caer encima un trailer y lo recogeran con serpatula si de por si los poblanos ser mamonser serte ser peor el verlo me causar nausea cerdo inmundo," ",es,1,caer encima
5432,1182070527315324929,todavia el muy sinvergüenza se atrever a hablar de la corrupcion de otros que dejar de escupir para arriba que le ir a caer encima," ",es,1,caer encima
5433,1182064764027129863,ustedes tambien le tener miedo a los rayos pq pensar que se les ir a caer encima o ser yo la unica pelotuda," ",es,1,caer encima
5434,1182062257800396800,nada toda el agua se me venir a caer encima lpm jajaja,unquillo,es,1,caer encima
5435,1182059834440585216,ya cai en la friendzone una vez y no poder volver a caer encima con la misma persona jajajsksjajjs triunfar jamas,ciudad evita,es,1,caer encima
5436,1182051038905405440,haber un viejo proverbio chino que decir la vida ser como una tombola a vecser sertas arriba y a vecser abajo tratar a todas las bolas por igual no sabser con quien te ir a topar cuando sertser abajo y quien te ir a caer encima,el salvador,es,0,caer encima
5437,1182047881001361408,yo siempre creer que se ir a caer encima mio," ",es,1,caer encima
5438,1182047640948637696,anel noreña explotar contra sarita sosa y viuda de jose jose dios les ir a caer encima,maestria udeg  doctorante uanl,es,1,caer encima
5439,1182045218104852480,«cuando nacer ya traer la muerte escondida en el higado o en el estomago o aca en el corazon que algun dia ir a pararse tambien poder estar fuera sentar en algun arbol que todavia no crecer pero que te ir a caer encima cuando ser viejo»  roberto gairldon macario 1960," ",es,1,caer encima
5440,1182044846892163074,haber una parte de la choreo de wonderland en la que san se dejar caer encima de uno de los bailarinser y serte como ser logico le recoger literal que pagaria por ser sera persona," ",es,1,caer encima
5441,1182579874680180736,ir cara dura que seguir asi ojalar le caer encima todo el peso de la ley o igual al final se cagar y se bajo del barco," ",es,1,caer encima
5442,1182571481668227072,"no ser que me alegrar pero para que le caer encima la maleta que haya colocar de cualquier manera mejor que ser de los tuyos ",huesca-zaragoza  spain,es,1,caer encima
5443,1182545026905264128,al ser electromecanica el motor lo vera dserde arriba y ser mas dificil que le caer encima,almeria,es,1,caer encima
5444,1182523497177858049,todos ser unos arrastrados malditos que preferir el dios dinero a ser honsertos algun dia los ver comer lodo no ser posible que la ira de dios no lser caer encima y lser de su merecido por hipocritas corruptos perseras que no tener ni saber de lo significar lealtad," ",es,1,caer encima
5445,1182477857592958977,le lanzar la superball al tentacruel y este suelta a gardevoir lo cual causar que caer encima de mi y ambos caermos al suelo  auch estas bien gardi,islas komugi,es,1,caer encima
5446,1182476599922434050,por que no me morir un rato no poder ser que de un segundo para el otro me poner mal y la re puta que me pario ojalar me chocar un auto con deshechos toxicos adentro y justo una fabrica de fosforos se caer encima mio," ",es,1,caer encima
5447,1182465062482698245,hoy trabaje como 20mil horas lo unico en lo que poder pensar ser el que me caer encima un barril de cerveza," ",es,1,caer encima
5448,1182455391705292800,no escupir hacia arriba para que luego no te caer encima," ",es,1,caer encima
5449,1182452530728652801,la 4t ser un castillo de naipser pero con filo cuando se nos caer encima nos ir a joder todos,mexico d.f,es,0,caer encima
5450,1182450641324724224,si ir a contar amistosos poder contar la pachanga que jugue el sabado pasado le meti un gol de tiro libre a un mexicano em tu argumento se caer a pedazos mas que todo porque aun no argumentas tu opinion normal que todo el mundo te caer encima," ",es,0,caer encima
5451,1182450082618249217,te imaginar que te caer encima y luego se ir todo emputado contigo noooo," ",es,1,caer encima
5452,1182448473473536000,ojalar se le caer encima un reflector a rodrigues larrota,frente al campo,es,1,caer encima
5453,1182432228065841152,salvo que caer encima del cuchillo y se lo enterrar jajajaja,ciudad de mexico,es,0,caer encima
5454,1182431390924791815,tanto hijueputa desadaptado se cagar la verdadera causa de las manifestaciones unos hijueputas que creer que hacer daños cambiar algo solo ir a lograr que el peso de la ley les caer encima y creer leyes que robar la libertad a la manifestacion," ",es,1,caer encima
5455,1182422405056122881,miedos irracionales que un verntilador de techo que se ver mal colocado me caer encima y morir siganle," ",es,1,caer encima
5456,1182418131366678528,me imaginar a wailord parado asi y onda por su psero y su forma ser imposible que se sostener imagínate que se te caer encima,santiago  chile,es,0,caer encima
5457,1182415636003282944,joder a mi me daria un ictus si le soltar a alguien blanco de mierda ser que ser como sercupir y que te caer encima,en la web,es,1,caer encima
5458,1182393157641818113,los niños d hoy en dia hacer q me caer encima todo lo q haber renegao d niñatillos to mi vida,españa,es,0,caer encima
5459,1182366475753066497,yo estar sin palabras que le caer encima todo el peso de la ley de todos los tomos uno detras de otro si poder ser,gatolandia.,es,1,caer encima
5460,1182361832180174849,sero ser sercupir para arriba y que te caer encima,chihuahua  mexico,es,0,caer encima
5461,1182342734633414656,gh permitio que violar a carlota lo veian todo y no habercer nada ella ademar haber tener que soportar a la gente que la amenaza humillar e insultar por todo esto jose maria ojalar te caer encima el peso de todo el mal que habers hacer,sevilla  andalucia,es,1,caer encima
5462,1182297631059513345,serperar que si aparecer sediciosos la ley lser caer encima que ser como tener que ser," ",es,0,caer encima
5463,1182269054083649536,me parecerr muy bien que se trabajar intensamente en campaña lo que no me parecerr ser que cada vez que se acercar las eleccionser siempre los opositorser se inventar algo para que las campañas uribistas se debilitar y la justicia lser caer encima para cerrar con broche de oro sus odios," ",es,1,caer encima
5464,1182254505930436614,a la ridicula clase media no le ir a doler ni ir a sentir su explotacion habersta que les caer encima todo el peso del neoliberalismo como les haber tocar a las clases populares no se por que esperar algo de elles solo ser legitimadores de su propia dominacion," ",es,1,caer encima
5465,1182252848387690497,que onda los que pensar que un culo ser mejor que la personalidad vos sabser que un culo no ir a sertar cuando el mundo se te caer encima dale flaco mil vecser mejor ser la personalidad poder tener alguien cuando todo te ir mal no se comparar con nada," ",es,1,caer encima
5466,1182244095235907589,y decir yo coño no habra por esos cielos un f18 de maniobras de la otan que por error se le escapar un bicho que llevar colgao y mirar tu por donde le caer encima de esa madriguera de ratas seria demasiada fortuna verdad," ",es,0,caer encima
5467,1182240881996378114,ojalar les caer encima agua a mares harto harto harto,ciudad autonoma de buenos aire,es,1,caer encima
5468,1182233670125527040,animar pues colombianos amantes d la democracia y d una justicia imparcial y verdadera a firmar el referendo despues no decir q no se les advirtio cuando el comunismo nos caer encima sera muy tarde esto haber q corregirlo a tiempo empezar porque en colombia no haber justicia," ",es,1,caer encima
5469,1182229017744818177,no hombre no pobre del que le caer encima,murcia  spain,es,1,caer encima
