,ID,Tweet,Localización,Idioma,Etiqueta,Expresión
0,1180200245323583488,ño cuando se t abre la tripa cañera y por x y i o u z no puedes continuar — en fin cuando te dejan con las ganas interpretalo como quieras cuando los medios predican que el  en venezuela  esta a punto de caer y la gente lleva 20 años creyendo,estados unidos,es,0.0,abrirse la tripa
1,1182079845288873984,agarrando aunque sea fallo no te quejes que para ir a mcdonalds sirven,paris bizkaia/venezuela,es,1.0,agarrando aunque sea fallo
2,1182015137659654144,estos ladronzuelos  agarrando aunque sea falloque sin pena son,caracas-venezuela,es,1.0,agarrando aunque sea fallo
3,1181582075075448834,claro es la logica agarrando aunque sea fallo todo el algunas vez tuvo una experiencia en el beisbol lo van a llamar,venezuela,es,1.0,agarrando aunque sea fallo
4,1181318419817349120,un refran como agarrando aunque sea fallo tambien preguntaba el significado de las palabras sin ninguna vergüenza a veces frente a extraños en un ascensor y luego se reia con picardia  cuando viajaba fuera de venezuela llevaba cafe de regalo porque era el mejor cafe,venezuela!!,es,1.0,agarrando aunque sea fallo
5,1180963198142431235, chamo quejate con trump y dile que tu odias a muerte a la revolución bolivariana a maduro y al pueblo venezolano y te juro que te daránpor lo menos una mesada  pero algo es algo agarrando aunque sea fallo ,sucre  venezuela,es,1.0,agarrando aunque sea fallo
6,1180581300249325568,es evidente que algunos decidieron agarrando aunque sea fallo,libertad  venezuela,es,1.0,agarrando aunque sea fallo
7,1180395676598972416,ja jajajaja esposos mozos amantes peor es nada agarrando aunque sea fallo jajajaja,in some place,es,0.0,agarrando aunque sea fallo
8,1179579607005065216,jalando bolas por donde sea mientras trump siga pichando dolares ellos pseudo opo agarrando aunque sea fallo con cualquiera todo sea por  no por venezuela,venezuela  carabobo,es,1.0,agarrando aunque sea fallo
9,1179513641701380096,agarrando aunque sea fallo bro dejemos las exigencias para cuando regrese la democracia entonces nos las cobraremos completa por ahora no somos mas que ceritos a la izquierda,coral gables  fl,es,1.0,agarrando aunque sea fallo
10,1178954989013737472,pa la gran chuta mare 23 dias despues salio baratico el petroleo robolucionario pero como dicen puaiiii agarrando aunque sea fallo,venezuela  carabobo,es,1.0,agarrando aunque sea fallo
11,1178818198717812737,no hay mucho de vocacion ni preparacion al ser una oferta chamba juvenil es agarrando aunque sea fallo y la educacion de los niños de tu patria no deberia estar en manos de inexpertos eso no lo hace un presidente que desee lo mejor para la infancia de su nacion,venezuela,es,1.0,agarrando aunque sea fallo
12,1178796549264031745,basura oportunista agarrando aunque sea fallo,caracas  venezuela,es,1.0,agarrando aunque sea fallo
13,1181699529193734147,por la viveza criolla hermano el agarra aunque sea fallo el quitate tu pa ponerme yo ese no es peo mio  si yo no trabajo no como ahy estan los resultados  un pais acabado familias divididas  venezolanos por el mundo llevando trancazos de otros para comer y sobrevivir,venezuela,es,1.0,agarrando aunque sea fallo
14,1181039078592126976,bo mi viejo entra de cheto ami cuarto osea golpea antes por lo menos hdp un dia me va agarrar con las manos en la masa jajajajajaja,montevideo  uruguay,es,0.0,agarrar con las manos en la masa
15,1179235946992164864,jajajajaja asi t queria agarrar con las manos en la masa,buenos aires  argentina,es,0.0,agarrar con las manos en la masa
16,1182481654759264256,justo lo agarre con las manos en la masa jajajaja,mendoza  argentina,es,0.0,agarrar con las manos en la masa
17,1182471709057830924,callate k hoy t agarre con las manos en la masa,san miguel  argentina,es,0.0,agarrar con las manos en la masa
18,1182157726371074048,me da cosa que el chapatin nos agarre con las manos en la masa,mexico,es,0.0,agarrar con las manos en la masa
19,1180620174736723969,el mio abre la puerta del baño cuando estas adentro abre la ventana cuando hace frio y abre mi ropero y me saca los calzones y los tira al piso nunca lo agarre con las manos en la masa,quilmes  argentina,es,1.0,agarrar con las manos en la masa
20,1179939476514201600,jajaja te agarre con las manos en la masa,mar del plata  argentina,es,0.0,agarrar con las manos en la masa
21,1179935990833713152,mi mama viendo su inicio la agarre con las manos en la masa,cordoba  argentina,es,0.0,agarrar con las manos en la masa
22,1178862125642469376,liam lo agarro con las manos en la masa,mexico,es,0.0,agarrar con las manos en la masa
23,1181399370148831234,como se salvo que la agarramos con las manos en la masa casi,balcarce  argentina,es,0.0,agarrar con las manos en la masa
24,1180921351835664384,salgo dos segundos a comprar droga a la esquina y vuelvo me cruzo a valentina y me agarra con las manos en la masa la droga dos botellas de coca de 2 litros,cañuelas  argentina,es,0.0,agarrar con las manos en la masa
25,1182132803825291265,  me parece buen punto que los policias puedan o deban denunciar cuando los agarren con las manos en la masa uds que opinan,mexico df,es,0.0,agarrar con las manos en la masa
26,1182086542686334977,si te agarran con las manos en la masa y te dicen tus opciones de colaborar o ir preso solo es presionar prefiero ir preso si soy inocente que mentir y quedar libre,panama,es,0.0,agarrar con las manos en la masa
27,1179180901827305473,me agarraste con las manos en la masa,moreno  argentina,es,1.0,agarrar con las manos en la masa
28,1182479502913310720,te agarraron con las manos en la masa corrupto no que no habias intervenido en el caso  y asi quieres seguir fregando al pueblo,mexico,es,0.0,agarrar con las manos en la masa
29,1182435965178011648,sr magistrado  es combate a la corrupcion lo agarraron con las manos en la masa o de plano ya se puso al servicio del tlatoani,mexico,es,0.0,agarrar con las manos en la masa
30,1182139452346568705,ajajaja los agarraron con las manos en la masa ahora a cantar,acarigua  venezuela,es,1.0,agarrar con las manos en la masa
31,1181787809335648256,si por eso tenias que colocar esta foto y despues salen a desmentir sus sesgos ahora sales desmentir cuando te agarraron con las manos en la masa nos creen estupidoz,arauca  colombia,es,0.0,agarrar con las manos en la masa
32,1181784186325209089,la excusa de que estaba mostrando la foto jajaja sea honesta usted esta declarada fakenews journalist la agarraron con las manos en la masa,venezuela,es,1.0,agarrar con las manos en la masa
