,EVF,Etiqueta
0,llevar trancazos,False
1,mamar tallo,False
2,hecho campaña,False
3,hacer agua,True
4,hacer arepitas,True
5,responder gracias,True
6,hacerle arepitas,True
7,comer excrementos,False
8,mentira odio,False
9,hacer torpezas,True
10,tener elecciones,False
11,aplicar medidas,False
12,tener piso,False
13,decir tu,False
14,alquilar balcones,True
15,correr sangre,False
16,hacer caso,True
17,visto parejitas,False
18,tener señor,False
19,tomar mate,False
20,tener juego,True
21,dejar dudas,False
22,aceptar sugerencias,False
23,dar levantarme,False
24,dar tiempo,True
25,tener bañera,False
26,tener idea,True
27,dar rata,True
28,ver memes,False
29,verme plis,False
30,comer bizcochuelo,True
31,tomar mates,False
32,recibir base,True
33,mover don,False
34,dar bola,True
35,romper zapatos,False
36,ique elecciones,False
37,querer justicia,False
38,tener preso,False
39,trabajado valla,False
40,jalar bola,True
41,jalar bolas,True
42,dar beneficios,False
43,alucinar señor,False
44,tener ganas,True
45,tener razon,True
46,tener dinero,False
47,traer beneficios,False
48,hablar mierda,False
49,dado cuenta,False
50,jalan bola,True
51,parar bola,True
52,sembrar terror,False
53,parir bola,True
54,trabajar doctor,False
55,montado ahhh,False
56,tocado vivirlo,False
57,querer atencion,False
58,tener amigos,False
59,creer presidente,False
60,das cuenta,False
61,apoyar talves,False
62,hacer marcha,True
63,paren bola,False
64,dar tema,True
65,poner bola,True
66,tener problemas,False
67,dar risa,True
68,parado bola,True
69,hacer relajo,True
70,buscar financiamiento,False
71,hablar mandarin,False
72,conseguir seguidores,False
73,robar dinero,False
74,tener lugar,True
75,resolver pana,False
76,tener tiempo,True
77,ir presos,False
78,pelar bola,True
79,dar lastima,True
80,brindar fuego,False
81,ver carajos,True
82,dar gustos,False
83,pagar grupos,False
84,pelamos bola,True
85,tomar fotos,False
86,dar cuenta,True
87,tener capacidad,False
88,montar fotos,False
89,tener derecho,False
90,pasar hambre,True
91,halar bolas,True
92,esperar cajas,False
93,tristeza cosas,False
94,tuitear idioteces,False
95,jalar caña,True
96,hacer crecerse,False
97,dar arrechera,False
98,publicar cosas,True
99,dar pena,True
100,tener remedio,False
101,tener algun,True
102,exigir sinceridad,False
103,comer hamburguesas,False
104,vender humo,False
105,sacar pecho,True
106,llamarlo presidente,False
107,tirar piedras,False
108,jalado bolas,True
109,tener visa,True
110,tener bolas,True
111,parar bolas,True
112,sacar cuadro,False
113,estar detras,True
114,hablar pana,True
115,parir bolas,True
116,paro bolas,False
117,hara justicia,False
118,lar personas,False
119,tener caracter,True
120,hablar trabajo,True
121,dar protagonismo,False
122,pedir elecciones,False
123,llamar dueño,False
124,hablar paja,False
125,ponia atencion,False
126,parado bolas,True
127,daria pena,False
128,quedo amigos,False
129,entrar moscas,False
130,dar fama,True
131,parare bolas,True
132,pararia bolas,True
133,desviar atencion,False
134,tener valor,True
135,tener prejuicios,False
136,pelar bolas,True
137,decir antecedentes,False
138,conocido gerentes,False
139,raspar cupo,False
140,dar carro,False
141,sufrir ricos,False
142,comer medicinas,False
143,lograr apoyo,False
144,aqui mentandole,False
145,echar broma,True
146,compartir ratos,False
147,comer cable,True
148,pelar cable,True
149,hacer carrera,True
150,habrian virgenes,False
151,poner queja,True
152,pedir cacao,True
153,decir velo,False
154,tirar coco,False
155,tener ley,False
156,pillar conversaciones,False
157,trabajar presidente,False
158,hacer mercado,True
159,comprar leales,False
160,comer ñoña,True
161,tener hno,True
162,pedir perdon,False
163,pidio cacao,True
164,quedar deliciosas,False
165,poner cachos,True
166,ver tipos,False
167,falto amor,False
168,hacer aseo,False
169,buscar novio,False
170,guardar rencor,False
171,puse cachos,False
172,puesto cachos,True
173,tener pareja,False
174,montar cachos,True
175,ver futbol,False
176,monte cachos,False
177,tener plata,False
178,tener mujer,False
179,gustar hombres,False
180,valer dejarnos,False
181,perdonado mujer,False
182,tirar parada,True
183,tener talentos,False
184,montado cachos,False
185,beber historias,False
186,dar amigos,True
187,tener novio,False
188,pegar cachos,True
189,tener pruebas,False
190,comprar empanadas,False
191,llevar cachos,True
192,aqui tranqui,False
193,comer moscas,True
194,seas mujer,False
195,tener miedo,False
196,tomar agua,False
197,estudiar matematicas,False
198,pegar ojo,False
199,buscar cosas,True
200,tomo cerveza,False
201,tomado medidas,False
202,correr error,False
203,tener cuidado,True
204,venir empiezas,False
205,gastar millones,False
206,dar cajeta,True
207,calentar puesto,True
208,sembrar odio,False
209,decir fuchi,False
210,ponganse serios,False
211,permitira ahorro,False
212,pasar factura,True
213,tomar cartas,False
214,parecer autoridades,False
215,dar cancha,True
216,sera envidia,False
217,callar zonas,False
218,querer enterrarme,False
219,darme cancha,True
220,darle cancha,True
221,cometer errores,False
222,darse cuenta,True
223,tener cancha,True
224,esperar respuesta,False
225,tenia cancha,True
226,ganar sabino,False
227,tendrian cancha,True
228,dar candela,True
229,pelar frente,False
230,dar castigo,True
231,dado candela,True
232,daria candela,False
233,darle candela,True
234,echar candela,True
235,gustar señor,False
236,echarle candela,True
237,llorar dale,False
238,quema ave,False
239,decir signos,False
240,estar candela,True
241,hacer 101019,False
242,ver niños,False
243,comprar entradas,False
244,invertir habra,False
245,llorar amigo,False
246,ver vandalos,False
247,intentar pararme,False
248,causar accidentes,False
249,quieranusar autos,False
250,creerse dueños,False
251,come casquillo,True
252,dar casquillo,True
253,dar latigazos,False
254,comprar crema,False
255,comer sancocho,True
256,coger gente,False
257,pasar coleto,True
258,llevar años,True
259,paso coleto,True
260,pasado coleto,True
261,tener calidad,True
262,comer cuentos,True
263,necesitar educarnos,False
264,tener politicos,False
265,buscar consensos,False
266,sacrificar seres,False
267,traman señor,False
268,vivido paros,False
269,comer chivo,True
270,criar chivos,False
271,gobernar tecnocratas,False
272,llamar fascista,False
273,estarlo gracias,True
274,comer bistec,False
275,tener cara,True
276,comido chivo,True
277,exceder vel,False
278,ladron ojo,False
279,hacer cursos,False
280,hacer falta,True
281,meter preso,False
282,sentir super,False
283,apurar paquete,False
284,imponer mano,False
285,quemar culo,False
286,abriendose paso,False
287,comer pavo,True
288,llegar jajajaja,True
289,dar tumbos,False
290,trabajar beca,False
291,progresar 6500,False
292,tener concha,True
293,cruce 6500,False
294,contratar varones,False
295,gustar tal,True
