,ID,Tweet,Localización,Idioma,Etiqueta,Expresión
11583,1182795673118367745,tu decir que le ir a dar la cola en el carrito a muchos,landing on mars,es,1,dar la cola
11584,1182744680141901827,gracias en venezuela coloquialmente se decir dar la cola,estados unidos,es,0,dar la cola
11585,1182732152661827585,alguien que bajar a caracas le podria dar la cola a un amigo que se lesionar el tobillo vivir en altamira," ",es,1,dar la cola
11586,1182662825992507396,en venezuela dar la cola ser sinonimo de dar jalon," ",es,0,dar la cola
11587,1182631214768934913,buen dia alguien recordar la serie esa chica bueno hoy le hacer competencia meti la pata con un pedido derrame el cafe y el vecino que me ir a dar la cola para sacar mi carro del taller se quedar sin bateria mejor me volver a acostar a ver si me levantar con el pie derecho,lara,es,1,dar la cola
11588,1182442430399950848,bro hoy tenia el chance de  ver a dos de mis amigas que no veia desde uffff  conocer a nuevas personas  literally have a fun night  y mis papas no me poder llevar y absolutamente no haber nadie quien me poder dar la cola im so sad,caracas,es,1,dar la cola
11589,1182407516518531072,gracias chamitooo pero ya me ir a dar la cola,cd.bolivar/maturin - venezuela,es,1,dar la cola
11590,1182228437215383552,buenos dias ser la 535 am ya estar lista para ir al trabajo  por que  porque me quedar sin efectivo y me ir a dar la cola mi jefa que practicamente llegar al colegio con el amanecer,en narnia,es,1,dar la cola
11591,1182115025605017600,la salida la cuadre yo y ahora nadie me querer dar la cola finisimo," ",es,1,dar la cola
11592,1182088822433157120,y adecirvinar le decir todo el efectivo que tenia no le poder dar la cola al terminal ya que al señor no lo habian atendecirdo y yo me tenia que ir esperar que haber llegar sin problema no se si yo cambiar algo en el pero definitivamente a mi me cambio mi decira," ",es,1,dar la cola
11593,1182079005538869250," jajdjajajsjsa decir que ya no le ir a dar la cola a nadie quedar traumado",venezuela,es,1,dar la cola
11594,1182037992241876993,"alguien me querer dar la cola el viernes a una reunion de trabajo no les comprar desayuno ",caracas  venezuela,es,1,dar la cola
11595,1181906327704133632,esa gente que se te quedo mirar en calle y no te decir nada uno no saber si te ir a robar quitar el numero violar matar o te ir a dar la cola  coño hacer algo no dejar a uno con la intriga,el condado de coro,es,1,dar la cola
11596,1181758020725985280,mañana que nos ir a dar la cola hasta la universidad no tener clases," ",es,1,dar la cola
11597,1181719894536138752,quien nos poder dar la cola ida y vuelta para ver el risas,new california republic,es,1,dar la cola
11598,1181708300108406784,un dia ser joven y al otro le tener que dar la cola al novio de tu hermana menor,en constante evolucion,es,0,dar la cola
11599,1181554034760671233,correcto sarah ser asi por que en mi pais sera palabr tener varios significados por ejemplo tambien se poder usar para pedir un aventon ej te diria sarah me puedser dar la cola a mi casa que mi carro se averio,carolina del norte  usa,es,0,dar la cola
11600,1181418083568816128,que ladilla cuando la persona que te ir a dar la cola te dejar ck,maracaibo  venezuela,es,1,dar la cola
11601,1181406661040377857,verga no ser malos cuando volver a chile a buscar mas venezolanos me poder dar la cola hasta chile,caracas. vargas: maiquetia  guaira. miranda: teques tuy guatire guarenas barlovento petare chacao baruta. aragua. carabobo. guarico. catia. caricuao,es,1,dar la cola
11602,1181381181398568967,yo tambien te querer dar la cola al trabajo,caracas venezuela,es,1,dar la cola
11603,1181361275286233089," ya se quien me ir a dar la cola",maracay  venezuela,es,1,dar la cola
11604,1181355832480538624,mas nunca te ir a dar la cola,caracas  venezuela,es,1,dar la cola
11605,1181320949762793473,y ser los que me ir a dar la cola a casa," ",es,1,dar la cola
11606,1181320761631490049,"ahhh pero me ir a dar la cola cuando estar a dos casas de la mia ",caracas  venezuela,es,1,dar la cola
11607,1181308871438225415,puta memoria de mierda a quien le ir a dar la cola y se subio al colectivo porque se le olvido,argentina,es,0,dar la cola
11608,1181272312370356224,tambien ver a otro gran gran gran lote q querer irse pero converasa vender pasajes ida y vuelta y solo efectivo que si cuando ir a buscarlos les poder dar la cola pa sacarlos de venezuela,acarigua-barquisimeto,es,1,dar la cola
11609,1181226134681346050,me sorprender eso de dar la cola jajajaja nunca nadie me nego la cola por ese motivo de hecho me llevar a san antonio super relajados creer que te engañar ️,medellin  colombia,es,0,dar la cola
11610,1181220635332300800,tenes que dar la cola para los vagos y no te cambiar por minas,argentina,es,0,dar la cola
11611,1181214477292855296,bueno yo solo decir que te podria dar la cola wao ya me salio competencia,caracas  venezuela,es,1,dar la cola
11613,1181021437215293441,ir ver en que posicion ponerme para dar la cola jajajajaj la amo loco," ",es,0,dar la cola
11614,1181019783040503809,mañana en el sercrito de fisica ser dar la cara o dar la cola," ",es,0,dar la cola
11615,1181008077920854016,cuando el que te ir a dar la cola decir que salir en 10 minutos y sientes que no haber beber suficiente,estados unidos,es,1,dar la cola
11616,1181007929341874176,la novia de mi hermano hola un gusto yo porque ella ser la razon por la que mi hermano me dejar de dar la cola cuando me dar la gana 247," ",es,0,dar la cola
11617,1180482035623874561,o sea que ir a dar la cola,nicaragua,es,0,dar la cola
11618,1180305966493061120,hola te poder dar la cola caminar ser panita y de vez en cuando me lanzar que si un chiste bueno,puerto ordaz - venezuela,es,1,dar la cola
11619,1180295039429332993,alguien me querer dar la cola al psiquiatrico mañana querer ir a hacer voluntariado y no tener como ir auxilio se los rogar," ",es,1,dar la cola
11620,1180154605360967688,and i oop aca dar la cola ser otra cosa pero dale beber obvio que si ir a molsertar a los lampiños y raspar tus tarjetas de credito nuevas,buenos aires,es,0,dar la cola
11621,1179879682126356482,desde las 2 pm esta llover no me querer dar la cola para el trabajo,san cristobal  venezuela,es,1,dar la cola
11622,1179578117905625088,amigo sos lo mas y me encantar q le des la cola a uno solo  yopienso q un activo le tener q dar la cola a uno solo d los activos jajajaj,santa rosa  argentina,es,0,dar la cola
11623,1182832824052867073,yaasta ya te dar la cola wn d,caracas,es,0,dar la cola
11624,1182471613163495425,los hombrser que creer que las chamas no saber de carros ser unos ridiculos te dar la cola mi carro ser el negro campeon haber 3 carros negros hablas del aveo del optra o del ford fiserta,somewhere over the rainbow,es,1,dar la cola
11625,1182463527107342336,y tu ser preciosa no te montes en el metro yo te dar la cola a donde me la pedir,nueva esparta  venezuela,es,1,dar la cola
11626,1182064944096972800,ir caminar tranquilamente por la calle un tipo desde un carro me decir te dar la cola le decir que no y poner cara de molestoobstinado y acelero durisimo que freak s,venus,es,1,dar la cola
11627,1181902805436702721,ya te dar la cola por tu cola bebe,entre letras y bares,es,0,dar la cola
11628,1181818109876936704,—te dar la cola yo si ir a dormir —le abrir la puerta para que salir— si necseritar a alguien con quien hablar o algo buscame ser burda de chimbo no poder sacar lo que haber dentro a vecser los extraños ser los que menos nos juzgar sin mas lo dejar en la puerta de los baños»," ",es,0,dar la cola
11629,1181636434496774145,pero si se me daño el pendejo ese  cuando lo tener aqui si te dar la cola,ucevista,es,1,dar la cola
11630,1181376099118469120,últimamente me haber tocar ser la ultima del circulo social en ver a mis amigos antes de que se ir del pais porque los llevar al terminal o les dar la cola de cumana a puerto se sentir bien y mal al mismo tiempo,venezuela,es,1,dar la cola
11631,1180760551754014722,el malentendido lingüistico mas peligroso que conocer ser que los venezolanos decir te dar la cola para ofrecer llevarte a algun lugar de paso," ",es,1,dar la cola
11632,1180649126918270976,si usted le echarr gasolina a mi carro entonces tener derecho a usarrlo no le echarr entonces no lo usar no se calar las colas conmigo entonces no le dar la cola pa su casa," ",es,1,dar la cola
11633,1180396351609331712,vrg no se porque aun la vida no me haber dar un carro él saber que si tener uno le dar la cola a medio mucho habery muchaber gente que necesitar de hospitalidad wbn,venezuela,es,1,dar la cola
11634,1180298101438996480,se imaginar que un tipo les decir asi te dar la cola jajajajajajaja que bochorno,en el caribe,es,1,dar la cola
11635,1180279270695931904,ahora que me dejar colgado todos no le dar la cola a nadie mas,buenos aires  argentina,es,1,dar la cola
11636,1182692217498013696,mi mama le esta dar la cola a la gente de las paradas de un extremo de ojeda a otro sin parar por lo de la gasolina obviamente no cobrar ah verga y la gente se arrecha y reclamar por eso," ",es,1,dar la cola
11637,1182097342138327041,ahorita me quedar accidentado y sin bateria en el telefono y gracias a que le estar dar la cola a un amigo poder llamar con su telefono y nos rescatar,ciudad guayana,es,1,dar la cola
11638,1182052174060294149,me esta dar la cola una niña identica a regina spektor querer llorar,caracas,es,1,dar la cola
11639,1182042152026673154,aaahh pero en mundiales vivir dar la cola,argentina,es,0,dar la cola
11640,1181588067578253313,gabriel le esta dar la cola en el auto cuando esta mojada hasta lso tuetanos mirar que de verdad no entender,nᴏʀᴀ·s ﹠ mɪʟᴀ·s ʙᴀʙʏ-◦bᴇɴɪᴛᴏ·s ᴍᴇss-bᴜɢɢʏ-ɴɪᴄᴋ﹐ ᴍʏ ʙᴀʙʏ-ᴍᴀʀᴜ,es,1,dar la cola
11641,1179877624518205440,el laburo que me esta dar la cola de la cobra,honolulu  hi,es,0,dar la cola
11642,1182344227533070337,cada vez que mi mama y yo le dar la cola a chamos de la simon ella se poner tipo les presentar a mi hija valerie estudiar ingenieria quimica y ustedes lo detestar,venezuela,es,1,dar la cola
11643,1179932185119383552,pues entonces no me des la cola que te la jalar y te la corto con un machete por mal educado   ahr re agresiva con el bubu que me ponia jabskdkd,𝑰 𝑱 𝑯 𝑪 𝑽,es,0,dar la cola
11644,1182667023777710080,che esteban cuando me dar la cola,argentina bs as,es,0,dar la cola
11645,1180944894816337925,1 mes escondido tuviste dogorse te ser lasonrisa ironica de 4meses atras ahora hablas de deportes menores jajaja jamas te sentir hablar de handballni baileysos presidente dedeportes menores de futbolmuerto estashoy das la cola en belveder," ",es,0,dar la cola
11646,1180308634636574730,que dificil se haber volver ser educar en estos tiempos ya a todos les dar igual agradecer no decir nadar si les dars paso si les haberces un favor si les dars la cola como si uno estar obligado a habercerlo," ",es,1,dar la cola
11647,1180250578590584832," y nosotros tambien     y porfa aprovechar y le dar la cola a maria corina machado",caracas  venezuela  suramerica,es,1,dar la cola
11648,1180167491143778304,mi hermana me hacer caminar al supermercado a comprar unas vainas pq no queria mover el carro y venir la amiga ay me dar la cola y la bicha casi q ya estar montada en el carro,venezuela,es,1,dar la cola
11649,1179911778131726336,esa gente que le dar la cola y oler a mardita sea con coño e la madre,venezuela,es,1,dar la cola
11650,1179863359916826626,como pasas de un alta facha a un me dar la cola jjajajwjaj tan enfermos ir a estar,cordoba  argentina,es,0,dar la cola
11651,1182912589375983616,hoy estar en una tiendar con mi tia espserr que dejar de lloverr y pasar un carro y le gritarr holaa suegraa yo  mi tia no se quien ser pero ver que estar aqui en pleno palo de agua me gritar en plena calle suegra y no nos dar la cola no tener mi aprobacion nojodar,venezuela,es,1,dar la cola
11652,1182791008158932994,puntos para tu tia nojodar como coño no les dar la cola si hoy ser un palo de agua en todar valencia,vzla - san diego,es,1,dar la cola
11653,1182474992346451969,yo me llevar demasiado bien con la gente tanto asi que mi jefa ya hasta me dar la cola cuando salir del trabajo," ",es,1,dar la cola
11654,1182335492941066240,ir a mandarrle un  a la vecina que me dar la cola y le mandar un  que desgracia,caracas   venezuela,es,1,dar la cola
11655,1182335027587235842,la alegria propia me la dar la cola del pescado de la ciudard,santa fe,es,0,dar la cola
11656,1182296517132075008,ser que sera suerte que tener yo ser bien bipolar pana mi prima me dar la cola de cua a chacao porque trabajar cerca no agarrar ferro fino ah pero haber retraso en el metro y tener una parado sin salir de la sertacion agarrar una camioneta que segun ir al irlle dsereenme suerte," ",es,1,dar la cola
11657,1182164659035672578,agotadars ya las entradars para la peli de shinkai en el salon miedete me dar la cola que se ir a formar,alicante  spain,es,0,dar la cola
11658,1182094792437780480,un pana ir para meridar el fin de semana le dar la cola,san cristobal.,es,1,dar la cola
11659,1182105256265687042,man mañana ir a salir de mi casa sin que me dar la cola y sin pasar por el mercado me sentir rara xd,nueva esparta  venezuela,es,1,dar la cola
11660,1182093689562292226,me hare amiga de esa gente pa q me dar la cola en la jailuz,vagando en venezuela,es,1,dar la cola
11661,1181176752976080896," que le decir curda al ron que no te dar la cola porque todo ser una paranoia con el trafico",lecheria  anzoategui  vzla,es,1,dar la cola
11662,1180917614425628674,que te dar la cola ser demasiado brutal pero que te de la cola tu crush mayor ser otro nivel hoy me pasar y no se como en el procsero que hablar no temblar de solo pensarlo me poner nerviosa f que me pasar todos los dias,menos hate  mas perreo,es,0,dar la cola
11663,1180583592658792448,claro pana ser charlero de profesion cargar cavas de otros en la orilla y que nos dar la cola para los cayos,polovragi  românia,es,1,dar la cola
11664,1179734936678518786,que te pagar lo que te deber que te dar la cola  que te invertir un cafe que te abrazar fuerte que no tener frizz en el cabello," ",es,1,dar la cola
11665,1182478421294751745,ahora les dar la cola en el avion y de paso le dar la cola tambien la de atras," ",es,0,dar la cola
