,Expresión
0,abrir gola
1,abrir un agujero para tapar otro
2,abrirse como un paraguas
3,abrirse como paraguas
4,abrirse la tripa
5,abrirse la tripa cañera
6,achinar los dientes
7,aflojar el coroto
8,aflojar la mascada
9,soltar la mascada
10,agarrando aunque sea fallo
11,agarrar cansiano
12,agarrar con las manos en la masa
13,agarrar el coroto
14,agarrar el toro por los cachos
15,agarrar la mandarria
16,agarrar la wilson
17,agarrarse de ese palo
18,agarrarse una oreja y no alcanzar la otra
19,tener a dios agarrado por la chiva
20,meter a uno el tiempo en agua
21,sacarle el agua al maguey
22,aguar la boca
23,aguarsele la boca
24,abrir un agujero para tapar otro
25,tragar alpargata
26,alzar el tole
27,alzar la cama
28,amarrar el bongo
29,amarrar la cara
30,casar una apuesta
31,echarse una apurada
32,darseuna apurada
33,echarse una apuradita
34,darse una apuradita
35,buscar la arepa
36,ganarse la arepa
37,bregar la arepa
38,meter las nueve arepas
39,dar las nueve arepas
40,hacer arepitas
41,meter la arepita
42,armar un caramillo
43,armar un foxtrot
44,armar un zoco de zaperoco
45,arrastrar un cuero
46,arrastrar cuero
47,arrastrar la cobija
48,arreglar la capotera
49,arrimar la canoa
50,arrimar el pecho
51,comer avispa que cigarrón atora
52,comer avispa
53,jurungar el avispero
54,alborotar el avispero
55,alquilar balcones
56,coger el banco
57,tomar el banco
58,dar un baño
59,echar un baño
60,barrer por donde pasa la novia
61,barrer por donde pasa la suegra
62,agarrar fuera de base
63,coger fuera de base
64,sorprender fuera de base
65,voltear el baúl
66,echar bejuco
67,quedarse colgando de un bejuco
68,esconder su bizcocho
69,comer bizcochuelo
70,aguar la boca
71,aguarse la boca
72,dar base por bola
73,recibir base por bola
74,dar bola negra
75,echar bola negra
76,poner bola negra
77,gozar una bola
78,halar bola
79,jalar bola
80,parar bola
81,pelar bola
82,halar bolas
83,jalar bolas
84,parar bolas
85,pelar bolas
86,caerse de boliche
87,dar bollo
88,amarrar el bongo
89,ser más mañoso que cochino entrando enbongo
90,botar el juego
91,botar el pelero
92,botar la tercera o la segunda
93,bregar la arepa
94,brincar matores
95,brincar el perol
96,brincar la talanquera
97,echar broma
98,echar la burra para el monte
99,pegar el cabestro
100,tener más puntas que un cabestro de cerdas
101,traer de cabestro
102,llevar de cabestro
103,comer cable
104,comer se un cable
105,pelar cable
106,cobrar cabuya
107,comer cabuya
108,dar cabuya
109,estar en la cabuya
110,pelar la cabuya
111,ponerse en la cabuya
112,tener de esa cabuya un rollo
113,cortar las cabuyeras
114,cortarle la cabuyera a alguien
115,pedir cacao
116,hacer cachapas
117,chupar cachimbo
118,mamar cachimbo
119,agarrar el toro por los cachos
120,buscarle la vuelta al cacho
121,clavar el cacho
122,dar más vueltas que cacho en empedrado
123,dar más vueltas que un cacho en un empedrado
124,dar más brincos que cacho en empedrado
125,dar más brincos que un cacho en un empedrado
126,dar más tropezones que cacho en empedrado
127,dar más tropezones que un cacho en un empedrado
128,enterrar el cacho
129,poner cachos
130,montar cachos
131,pegar cachos
132,templar el cacho
133,tener más vuelta que un cacho
134,tener más vueltas que un cacho
135,torcer el cacho
136,caer encima
137,caer comején en el tejado
138,tener comején en el tejado
139,caer en verso
140,florear el café
141,tener más colmillos que un caimán
142,dar cajeta
143,calentar el guarapo
144,calentar la oreja
145,calentar puesto
146,estar más caliente que plancha de chino
147,amarrarse los fustanes
148,amarrarse los calzones
149,amarrarse los pantalones
150,alzar la cama
151,cortar el cambur
152,madurar cambures
153,dar cancha
154,tener cancha
155,dar candela
156,echar candela
157,estar en la candela
158,ser candela
159,estar candela
160,pasar candeladas
161,brincar candeladas
162,arrimar la canoa
163,rajar caña
164,arreglar la capotera
165,amarrar la cara
166,estar con la pierna de carabina
167,tirar sapos con carabina
168,hacer de un piojo un carángano
169,asolear el carapacho
170,cuidarse el carapacho
171,salvar el carapacho
172,cargar a cola alta
173,cargar cola
174,cargar el fusil por el pico
175,cargar en la palma de la mano
176,cargar a monte
177,cargar con el muerto
178,llegar hasta donde mono no carga a su hijo
179,cargar un zamuro de prendedor
180,irse para el carrizo
181,mandar para el carrizo
182,irse pal carrizo
183,mandar pal carrizo
184,echar un carro
185,tirar el carro
186,echar el carro
187,tirar un carro
188,comulgar con casabe
189,casar una apuesta
190,casar una pelea
191,comer casquillo
192,dar casquillo
193,arroparse hasta donde alcance la cobija
194,estirarse hasta donde alcance la cobija
195,caerse de un coco
196,echar cocos
197,patinarle el coco
198,coger el cachachá
199,coger mi cachachá
200,coger tucachachá
201,coger su cachachá
202,coger el golpe
203,coger el monte
204,coger el patio
205,coger pelota
206,coger ese trompo en la uña
207,cargar cola
208,coger cola
209,parar la cola
210,echar la colcha al arpa
211,traer coleado
212,llevar coleado
213,colear la parada
214,colear una parada
215,pasar coleto
216,comer cabuya
217,comer cuentos
218,comer chivo
219,comerse la flecha
220,comerse la luz
221,comerse una flecha
222,comerse una luz
223,comer pavo
224,comer el rancho
225,comerse el trazo
226,comerse un trazo
227,tener concha
228,entregar los corotos
229,arreglar los corotos
230,jurungar los corotos
231,correr gallos
232,correr un trueno
233,cortar las cabuyeras
234,cortar el cambur
235,hacer la cosa 
236,hacer cositas
237,darle cosa
238,dar cosa
239,echar maíz a las cotizas
